Polling Firm,Fieldwork Start,Fieldwork End,Period Estimated,Round,Sample Size,Participation Rate,Participation,Precision,Z. Čaputová,M. Šefčovič,R. Mistrík,Š. Harabin,M. Kotleba,F. Mikloško,B. Bugár,M. Krajniak,E. Chmelár,M. Daňo,R. Švec,J. Zábojník,I. Zuzula,B.Tauchmannová,J. Menyhárt,M. Lajčák,I. Radičová,A. Danko,R. Raši,V. Remišová,M. Čaučík,G. Drobová,O. Fegyveres,R. Znášik,Source
AKO,2/8/2019,2/12/2019,FALSE,1,1000,0.823,,0.1,0.147,0.182,0.158,0.128,0.069,0.055,0.074,0.078,0.05,0.017,0.011,0.007,0.007,0.002,0.015,,,,,,,,,,https://ako.sk/wp-content/uploads/2019/02/prezident012019ako.pdf
FOCUS,2/7/2019,2/12/2019,FALSE,2,1002,0.578,,0.1,0.481,0.519,,,,,,,,,,,,,,,,,,,,,,,https://www.focus-research.sk/files/n244_Preferencie%20prezidentsk%C3%BDch%20kandid%C3%A1tov+2.kolo_febru%C3%A1r_2019.pdf
FOCUS,2/7/2019,2/12/2019,FALSE,2,1002,0.572,,0.1,,0.493,0.507,,,,,,,,,,,,,,,,,,,,,,https://www.focus-research.sk/files/n244_Preferencie%20prezidentsk%C3%BDch%20kandid%C3%A1tov+2.kolo_febru%C3%A1r_2019.pdf
FOCUS,2/7/2019,2/12/2019,FALSE,1,1002,0.69,,0.1,0.144,0.201,0.171,0.136,0.089,0.045,0.074,0.063,0.035,0.01,0.06,0.007,0.003,0.001,0.014,,,,,,,,,,https://www.focus-research.sk/files/n244_Preferencie%20prezidentsk%C3%BDch%20kandid%C3%A1tov+2.kolo_febru%C3%A1r_2019.pdf
Restartup,1/28/2019,1/28/2019,FALSE,1,1537,,,0.1,0.102,0.125,0.163,0.126,0.095,0.065,0.078,0.061,0.036,0.035,0.026,0.025,,0.016,0.021,,,,,,,0.026,,,https://dennikn.sk/1364610/bleskovy-prezidentsky-prieskum-bez-danka-mistrik-vedie-harabin-superi-so-sefcovicom/
FOCUS,1/16/2019,1/23/2019,FALSE,2,1013,,,0.1,0.42,0.58,,,,,,,,,,,,,,,,,,,,,,,https://tvnoviny.sk/na-telo/clanok/94038-exkluzivny-prieskum-prve-realne-cisla-ktore-ukazuju-kto-sa-moze-stat-novym-prezidentom
FOCUS,1/16/2019,1/23/2019,FALSE,2,1013,,,0.1,,,0.638,0.362,,,,,,,,,,,,,,,,,,,,,https://tvnoviny.sk/na-telo/clanok/94038-exkluzivny-prieskum-prve-realne-cisla-ktore-ukazuju-kto-sa-moze-stat-novym-prezidentom
FOCUS,1/16/2019,1/23/2019,FALSE,2,1013,,,0.1,,0.654,,0.346,,,,,,,,,,,,,,,,,,,,,https://tvnoviny.sk/na-telo/clanok/94038-exkluzivny-prieskum-prve-realne-cisla-ktore-ukazuju-kto-sa-moze-stat-novym-prezidentom
FOCUS,1/16/2019,1/23/2019,FALSE,2,1013,,,0.1,,0.501,0.499,,,,,,,,,,,,,,,,,,,,,,https://tvnoviny.sk/na-telo/clanok/94038-exkluzivny-prieskum-prve-realne-cisla-ktore-ukazuju-kto-sa-moze-stat-novym-prezidentom
FOCUS,1/16/2019,1/23/2019,FALSE,1,1013,0.604,,0.1,0.09,0.165,0.165,0.117,0.082,0.067,0.101,0.07,0.023,0.001,0.005,0.015,,0.001,0.015,,,0.078,,,,0.005,,,https://focus-research.sk/files/n241_Preferencie%20prezidentskych%20kandidatov_januar_2019.pdf
AKO,12/6/2018,12/10/2018,FALSE,1,1000,0.642,,0.1,0.109,,0.168,0.128,0.07,0.095,0.162,0.123,0.062,,0.006,0.014,,0.005,0.022,,,,,,,,,,https://www.topky.sk/cl/1002023/1758403/Najvyrovnanejsi-prieskum--prezidentske-volby-budu-poriadnou-dramou--Najvacsim-prekvapenim-je-Bugar
AKO,12/3/2018,12/4/2018,FALSE,1,1000,0.702,,0.1,0.066,,0.148,0.1,0.043,0.064,0.098,0.06,0.077,0.027,0.006,0.01,,0.006,0.017,,,0.088,0.085,,,0.019,,0.003,https://ako.sk/wp-content/uploads/2018/12/AKO_PREZIDENTSKE_PREFERENCIE_dec_2018.pdf
FOCUS,11/7/2018,11/14/2018,FALSE,1,1012,0.633,,0.1,0.041,,0.117,0.1,0.089,0.063,0.092,0.03,0.033,,0.006,0.009,,0.004,,0.323,,,,0.079,,0.007,0.002,0.002,https://www.focus-research.sk/files/n237_Preferencie%20moznych%20prezidentskych%20kandidatov_november_2018.pdf
FOCUS,9/18/2018,9/25/2018,FALSE,1,1015,0.613,,0.1,0.052,,0.095,0.091,0.087,0.049,0.079,0.024,0.041,0.003,0.001,0.012,,0.001,,0.26,,0.123,,0.079,,,,0.003,https://www.focus-research.sk/files/n233_Preferencie%20prezidentskych%20kandidatov_september_2018.pdf
AKO,8/30/2018,9/5/2018,FALSE,1,1000,0.783,,0.1,0.069,,0.121,0.088,0.047,0.071,0.086,0.044,0.108,0.027,0.005,0.018,,0.018,,,,0.097,,,0.019,,0.005,0.012,https://ako.sk/wp-content/uploads/2018/09/AKOPREZIDENTSKEPREFERENCIESEPTEMBER%202018.pdf
